,City,Cause_Category,Cause_Subcategory,Incident_Outcome,Accident_Count
273,Chennai,Traffic Control,Flashing Signal/Blinker,Total Injured,723.0
274,Chennai,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,776.0
275,Chennai,Traffic Control,Others,Greviously Injured,369.0
276,Chennai,Traffic Control,Others,Minor Injury,1214.0
277,Chennai,Traffic Control,Others,Persons Killed,276.0
278,Chennai,Traffic Control,Others,Total Injured,1583.0
279,Chennai,Traffic Control,Others,Total number of Accidents,1598.0
280,Chennai,Traffic Control,Police Controlled,Greviously Injured,78.0
281,Chennai,Traffic Control,Police Controlled,Minor Injury,445.0
282,Chennai,Traffic Control,Police Controlled,Persons Killed,110.0
283,Chennai,Traffic Control,Police Controlled,Total Injured,523.0
284,Chennai,Traffic Control,Police Controlled,Total number of Accidents,501.0
285,Chennai,Traffic Control,Stop Sign,Greviously Injured,88.0
286,Chennai,Traffic Control,Stop Sign,Minor Injury,234.0
287,Chennai,Traffic Control,Stop Sign,Persons Killed,81.0
288,Chennai,Traffic Control,Stop Sign,Total Injured,322.0
289,Chennai,Traffic Control,Stop Sign,Total number of Accidents,384.0
290,Chennai,Traffic Control,Traffic Light Signal,Greviously Injured,89.0
291,Chennai,Traffic Control,Traffic Light Signal,Minor Injury,389.0
292,Chennai,Traffic Control,Traffic Light Signal,Persons Killed,65.0
293,Chennai,Traffic Control,Traffic Light Signal,Total Injured,478.0
294,Chennai,Traffic Control,Traffic Light Signal,Total number of Accidents,433.0
295,Chennai,Traffic Control,Uncontrolled,Greviously Injured,119.0
296,Chennai,Traffic Control,Uncontrolled,Minor Injury,515.0
297,Chennai,Traffic Control,Uncontrolled,Persons Killed,128.0
298,Chennai,Traffic Control,Uncontrolled,Total Injured,634.0
299,Chennai,Traffic Control,Uncontrolled,Total number of Accidents,697.0
300,Coimbatore,Traffic Control,Flashing Signal/Blinker,Greviously Injured,11.0
301,Coimbatore,Traffic Control,Flashing Signal/Blinker,Minor Injury,16.0
302,Coimbatore,Traffic Control,Flashing Signal/Blinker,Persons Killed,2.0
303,Coimbatore,Traffic Control,Flashing Signal/Blinker,Total Injured,27.0
304,Coimbatore,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,25.0
305,Coimbatore,Traffic Control,Others,Greviously Injured,267.0
306,Coimbatore,Traffic Control,Others,Minor Injury,244.0
307,Coimbatore,Traffic Control,Others,Persons Killed,54.0
308,Coimbatore,Traffic Control,Others,Total Injured,511.0
309,Coimbatore,Traffic Control,Others,Total number of Accidents,500.0
310,Coimbatore,Traffic Control,Police Controlled,Greviously Injured,0.0
311,Coimbatore,Traffic Control,Police Controlled,Minor Injury,6.0
312,Coimbatore,Traffic Control,Police Controlled,Persons Killed,0.0
313,Coimbatore,Traffic Control,Police Controlled,Total Injured,6.0
314,Coimbatore,Traffic Control,Police Controlled,Total number of Accidents,8.0
315,Coimbatore,Traffic Control,Stop Sign,Greviously Injured,0.0
316,Coimbatore,Traffic Control,Stop Sign,Minor Injury,0.0
317,Coimbatore,Traffic Control,Stop Sign,Persons Killed,0.0
318,Coimbatore,Traffic Control,Stop Sign,Total Injured,0.0
319,Coimbatore,Traffic Control,Stop Sign,Total number of Accidents,0.0
320,Coimbatore,Traffic Control,Traffic Light Signal,Greviously Injured,11.0
321,Coimbatore,Traffic Control,Traffic Light Signal,Minor Injury,25.0
322,Coimbatore,Traffic Control,Traffic Light Signal,Persons Killed,3.0
323,Coimbatore,Traffic Control,Traffic Light Signal,Total Injured,36.0
324,Coimbatore,Traffic Control,Traffic Light Signal,Total number of Accidents,40.0
325,Coimbatore,Traffic Control,Uncontrolled,Greviously Injured,58.0
326,Coimbatore,Traffic Control,Uncontrolled,Minor Injury,84.0
327,Coimbatore,Traffic Control,Uncontrolled,Persons Killed,6.0
328,Coimbatore,Traffic Control,Uncontrolled,Total Injured,142.0
329,Coimbatore,Traffic Control,Uncontrolled,Total number of Accidents,134.0
330,Delhi,Traffic Control,Flashing Signal/Blinker,Greviously Injured,6.0
331,Delhi,Traffic Control,Flashing Signal/Blinker,Minor Injury,134.0
332,Delhi,Traffic Control,Flashing Signal/Blinker,Persons Killed,49.0
333,Delhi,Traffic Control,Flashing Signal/Blinker,Total Injured,140.0
334,Delhi,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,171.0
335,Delhi,Traffic Control,Others,Greviously Injured,109.0
336,Delhi,Traffic Control,Others,Minor Injury,2180.0
337,Delhi,Traffic Control,Others,Persons Killed,686.0
338,Delhi,Traffic Control,Others,Total Injured,2289.0
339,Delhi,Traffic Control,Others,Total number of Accidents,2463.0
340,Delhi,Traffic Control,Police Controlled,Greviously Injured,5.0
341,Delhi,Traffic Control,Police Controlled,Minor Injury,42.0
342,Delhi,Traffic Control,Police Controlled,Persons Killed,20.0
343,Delhi,Traffic Control,Police Controlled,Total Injured,47.0
344,Delhi,Traffic Control,Police Controlled,Total number of Accidents,62.0
345,Delhi,Traffic Control,Stop Sign,Greviously Injured,8.0
346,Delhi,Traffic Control,Stop Sign,Minor Injury,110.0
347,Delhi,Traffic Control,Stop Sign,Persons Killed,37.0
348,Delhi,Traffic Control,Stop Sign,Total Injured,118.0
349,Delhi,Traffic Control,Stop Sign,Total number of Accidents,140.0
350,Delhi,Traffic Control,Traffic Light Signal,Greviously Injured,39.0
351,Delhi,Traffic Control,Traffic Light Signal,Minor Injury,300.0
352,Delhi,Traffic Control,Traffic Light Signal,Persons Killed,98.0
353,Delhi,Traffic Control,Traffic Light Signal,Total Injured,339.0
354,Delhi,Traffic Control,Traffic Light Signal,Total number of Accidents,401.0
355,Delhi,Traffic Control,Uncontrolled,Greviously Injured,45.0
356,Delhi,Traffic Control,Uncontrolled,Minor Injury,684.0
357,Delhi,Traffic Control,Uncontrolled,Persons Killed,306.0
358,Delhi,Traffic Control,Uncontrolled,Total Injured,729.0
359,Delhi,Traffic Control,Uncontrolled,Total number of Accidents,941.0
360,Dhanbad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,4.0
361,Dhanbad,Traffic Control,Flashing Signal/Blinker,Minor Injury,2.0
362,Dhanbad,Traffic Control,Flashing Signal/Blinker,Persons Killed,11.0
363,Dhanbad,Traffic Control,Flashing Signal/Blinker,Total Injured,6.0
364,Dhanbad,Traffic Control,Flashing Signal/Blinker,Total number of Accidents,14.0
365,Dhanbad,Traffic Control,Others,Greviously Injured,0.0
366,Dhanbad,Traffic Control,Others,Minor Injury,0.0
367,Dhanbad,Traffic Control,Others,Persons Killed,0.0
368,Dhanbad,Traffic Control,Others,Total Injured,0.0
369,Dhanbad,Traffic Control,Others,Total number of Accidents,0.0
370,Dhanbad,Traffic Control,Police Controlled,Greviously Injured,15.0
371,Dhanbad,Traffic Control,Police Controlled,Minor Injury,9.0
372,Dhanbad,Traffic Control,Police Controlled,Persons Killed,32.0
373,Dhanbad,Traffic Control,Police Controlled,Total Injured,24.0
374,Dhanbad,Traffic Control,Police Controlled,Total number of Accidents,47.0
375,Dhanbad,Traffic Control,Stop Sign,Greviously Injured,5.0
376,Dhanbad,Traffic Control,Stop Sign,Minor Injury,2.0
377,Dhanbad,Traffic Control,Stop Sign,Persons Killed,9.0
378,Dhanbad,Traffic Control,Stop Sign,Total Injured,7.0
379,Dhanbad,Traffic Control,Stop Sign,Total number of Accidents,12.0
380,Dhanbad,Traffic Control,Traffic Light Signal,Greviously Injured,35.0
381,Dhanbad,Traffic Control,Traffic Light Signal,Minor Injury,12.0
382,Dhanbad,Traffic Control,Traffic Light Signal,Persons Killed,18.0
383,Dhanbad,Traffic Control,Traffic Light Signal,Total Injured,47.0
384,Dhanbad,Traffic Control,Traffic Light Signal,Total number of Accidents,69.0
385,Dhanbad,Traffic Control,Uncontrolled,Greviously Injured,13.0
386,Dhanbad,Traffic Control,Uncontrolled,Minor Injury,1.0
387,Dhanbad,Traffic Control,Uncontrolled,Persons Killed,13.0
388,Dhanbad,Traffic Control,Uncontrolled,Total Injured,14.0
389,Dhanbad,Traffic Control,Uncontrolled,Total number of Accidents,22.0
390,Faridabad,Traffic Control,Flashing Signal/Blinker,Greviously Injured,2.0
391,Faridabad,Traffic Control,Flashing Signal/Blinker,Minor Injury,6.0
